gene_symbol,n_groups,predominant_direction,n_up,n_down,mean_log2FC,groups
Plin4,8,UP,8,0,1.5137492382611244,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc8_frontalcortex_ST_A_Ex;Acc8_frontalcortex_ST_A_Ex_KD;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Fkbp5,8,UP,8,0,1.091452767277446,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_hypothalamus_GLP_1_MK_801;Acc5_nts_IP118_PY115;Acc5_pvn_IP118_PY115;Acc6_mbh_AC3174;Acc6_mbh_COMBO;Acc8_frontalcortex_ST_A_Ex
Hif3a,8,UP,8,0,0.9601317259921059,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_hypothalamus_GLP_1_MK_801;Acc3_hypothalamus_conjugate_2;Acc5_arc_IP118_PY115;Acc5_nts_IP118_PY115;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Cdkn1a,6,UP,5,1,0.9162901239040665,Acc10_hippocampus_Exendin4;Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc5_arc_IP118_PY115;Acc5_nts_IP118_PY115;Acc5_pvn_IP118_PY115
Arl4d,6,UP,6,0,0.8873665220961525,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc5_arc_IP118_PY115;Acc5_pvn_IP118_PY115;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Xdh,6,UP,6,0,0.8458322840041786,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_hypothalamus_GLP_1;Acc3_hypothalamus_GLP_1_MK_801;Acc8_frontalcortex_ST_A_Ex;Acc8_hippocampus_ST_A_Ex
Map3k6,6,UP,6,0,0.7826900331232661,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_hypothalamus_GLP_1_MK_801;Acc3_hypothalamus_conjugate_2;Acc5_nts_IP118_PY115;Acc5_pvn_IP118_PY115
Zbtb16,6,UP,5,1,0.6140280775401618,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc5_arc_IP118_PY115;Acc5_pvn_IP118_PY115;Acc8_hypothalamus_LT_A_Ex
Tmem160,5,UP,5,0,1.8584464804758938,Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Trim59,5,DOWN,1,4,-0.3720226704899739,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex_KD;Acc8_hypothalamus_LT_A_Ex
